Origin_airport,Destination_airport,Total_Passengers,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
MDW,STL,7552791,41.7859992980957,-87.7524032592773,38.7486991882324,-90.370002746582
DFW,BOS,7521309,32.896800994873,-97.0380020141602,42.36429977,-71.00520325
MCI,ORD,7505608,39.2976,-94.713898,41.97859955,-87.90480042
MCO,BOS,7496588,28.4293994903564,-81.3089981079102,42.36429977,-71.00520325
MSP,LAX,7492933,44.8819999695,-93.2218017578,33.94250107,-118.4079971
ATL,SAV,7474332,33.6366996765137,-84.4281005859375,32.12760162,-81.20210266
MSP,LAS,7462479,44.8819999695,-93.2218017578,36.08010101,-115.1520004
SJC,SAN,7455267,37.3625984191895,-121.929000854492,32.7336006165,-117.190002441
DAL,AUS,7452159,32.8470993041992,-96.8517990112305,30.1944999694824,-97.6698989868164
EWR,SFO,7447139,40.6925010681152,-74.168701171875,37.6189994812012,-122.375
LAX,MSP,7420667,33.94250107,-118.4079971,44.8819999695,-93.2218017578
LAS,MSP,7405573,36.08010101,-115.1520004,44.8819999695,-93.2218017578
DTW,MDW,7392567,42.2123985290527,-83.353401184082,41.7859992980957,-87.7524032592773
SNA,DFW,7379505,33.67570114,-117.8679962,32.896800994873,-97.0380020141602
EWR,DFW,7354763,40.6925010681152,-74.168701171875,32.896800994873,-97.0380020141602
MCO,MIA,7351880,28.4293994903564,-81.3089981079102,25.7931995391846,-80.2906036376953
STL,DFW,7337194,38.7486991882324,-90.370002746582,32.896800994873,-97.0380020141602
SNA,SJC,7328235,33.67570114,-117.8679962,37.3625984191895,-121.929000854492
SFO,IAD,7326365,37.6189994812012,-122.375,38.94449997,-77.45580292
AUS,DAL,7318925,30.1944999694824,-97.6698989868164,32.8470993041992,-96.8517990112305
STL,DTW,7317427,38.7486991882324,-90.370002746582,42.2123985290527,-83.353401184082
DFW,STL,7310614,32.896800994873,-97.0380020141602,38.7486991882324,-90.370002746582
SAT,IAH,7305417,29.5337009429932,-98.4698028564453,29.9843997955322,-95.3414001464844
SAN,SMF,7280570,32.7336006165,-117.190002441,38.6954002380371,-121.591003417969
IAD,SFO,7262570,38.94449997,-77.45580292,37.6189994812012,-122.375
IAH,PHX,7258885,29.9843997955322,-95.3414001464844,33.4342994689941,-112.012001037598
DFW,SLC,7250086,32.896800994873,-97.0380020141602,40.7883987426758,-111.977996826172
SJC,SNA,7236921,37.3625984191895,-121.929000854492,33.67570114,-117.8679962
SMF,SAN,7236494,38.6954002380371,-121.591003417969,32.7336006165,-117.190002441
ATL,PIT,7225076,33.6366996765137,-84.4281005859375,40.49150085,-80.23290253
LAX,OGG,7220762,33.94250107,-118.4079971,20.8985996246338,-156.429992675781
DTW,STL,7220583,42.2123985290527,-83.353401184082,38.7486991882324,-90.370002746582
PIT,ATL,7214779,40.49150085,-80.23290253,33.6366996765137,-84.4281005859375
MDW,DTW,7190346,41.7859992980957,-87.7524032592773,42.2123985290527,-83.353401184082
LAX,PDX,7183908,33.94250107,-118.4079971,45.58869934,-122.5979996
ELP,PHX,7168059,31.80719948,-106.3779984,33.4342994689941,-112.012001037598
DFW,MSY,7160510,32.896800994873,-97.0380020141602,29.9934005737305,-90.2580032348633
IAH,SAT,7159370,29.9843997955322,-95.3414001464844,29.5337009429932,-98.4698028564453
MSY,DFW,7143044,29.9934005737305,-90.2580032348633,32.896800994873,-97.0380020141602
TPA,DFW,7142514,27.9755001068115,-82.533203125,32.896800994873,-97.0380020141602
CLT,MCO,7135964,35.2140007019043,-80.9430999755859,28.4293994903564,-81.3089981079102
PDX,LAX,7131586,45.58869934,-122.5979996,33.94250107,-118.4079971
SJC,SEA,7131475,37.3625984191895,-121.929000854492,47.4490013122559,-122.30899810791
SEA,SJC,7105970,47.4490013122559,-122.30899810791,37.3625984191895,-121.929000854492
SLC,DFW,7091260,40.7883987426758,-111.977996826172,32.896800994873,-97.0380020141602
PIT,PHL,7091231,40.49150085,-80.23290253,39.871898651123,-75.241096496582
ATL,MCI,7089891,33.6366996765137,-84.4281005859375,39.2976,-94.713898
PHX,IAH,7087114,33.4342994689941,-112.012001037598,29.9843997955322,-95.3414001464844
DFW,EWR,7061614,32.896800994873,-97.0380020141602,40.6925010681152,-74.168701171875
