Origin_airport,Destination_airport,Total_Passengers,Total_Flights,Total_Seats,Seat_Utilization,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long,Usage_Category
PHL,BDL,3248147,46977,5660371,0.5738399479468749,39.871898651123,-75.241096496582,41.9388999939,-72.6831970215,Sotto-Utilizzata
RNO,PDX,3234485,36960,4989810,0.648218068423447,39.4990997314453,-119.767997741699,45.58869934,-122.5979996,Sovra-Utilizzata
PBI,PHL,3233271,30164,4122785,0.784244388198754,26.6832008361816,-80.0955963134766,39.871898651123,-75.241096496582,Sovra-Utilizzata
DAL,IAH,3222110,69336,5896104,0.5464812018241197,32.8470993041992,-96.8517990112305,29.9843997955322,-95.3414001464844,Sotto-Utilizzata
PIT,BWI,3210556,39914,5303830,0.6053278479890947,40.49150085,-80.23290253,39.17539978,-76.66829681,Sotto-Utilizzata
PHL,STL,3209193,50290,5169358,0.6208107467116807,39.871898651123,-75.241096496582,38.7486991882324,-90.370002746582,Sotto-Utilizzata
DAL,ELP,3201997,39620,5218246,0.6136155712091764,32.8470993041992,-96.8517990112305,31.80719948,-106.3779984,Sotto-Utilizzata
BNA,HOU,3199907,38753,5148842,0.6214809077458582,36.1245002746582,-86.6781997680664,29.64539909,-95.27890015,Sotto-Utilizzata
STL,SLC,3199857,38743,4959665,0.6451760350749496,38.7486991882324,-90.370002746582,40.7883987426758,-111.977996826172,Sovra-Utilizzata
MCO,BNA,3198022,38299,4537772,0.7047559903847086,28.4293994903564,-81.3089981079102,36.1245002746582,-86.6781997680664,Sovra-Utilizzata
DCA,PIT,3197919,44136,5651119,0.5658912863098441,38.8521,-77.037697,40.49150085,-80.23290253,Sotto-Utilizzata
LGA,CLE,3185709,65499,5895857,0.5403300995936638,40.77719879,-73.87259674,41.4117012024,-81.8498001099,Sotto-Utilizzata
STL,PHL,3184844,50413,5196999,0.612823669967995,38.7486991882324,-90.370002746582,39.871898651123,-75.241096496582,Sotto-Utilizzata
SAT,LAS,3177387,30338,4011848,0.7920008435015484,29.5337009429932,-98.4698028564453,36.08010101,-115.1520004,Sovra-Utilizzata
BOS,STL,3176344,33755,4895245,0.648863131467373,42.36429977,-71.00520325,38.7486991882324,-90.370002746582,Sovra-Utilizzata
SEA,JFK,3175536,23927,4403109,0.7212031316962628,47.4490013122559,-122.30899810791,40.63980103,-73.77890015,Sovra-Utilizzata
STL,SEA,3175380,27205,4118330,0.7710358324854978,38.7486991882324,-90.370002746582,47.4490013122559,-122.30899810791,Sovra-Utilizzata
IAH,DAL,3173993,69235,5890915,0.5387945675671776,29.9843997955322,-95.3414001464844,32.8470993041992,-96.8517990112305,Sotto-Utilizzata
STL,BOS,3171276,33898,4924942,0.6439214918673154,38.7486991882324,-90.370002746582,42.36429977,-71.00520325,Sovra-Utilizzata
RDU,MCO,3167418,39576,4335725,0.7305394138235243,35.8776016235352,-78.7874984741211,28.4293994903564,-81.3089981079102,Sovra-Utilizzata
RNO,SJC,3165152,41600,5625373,0.5626563785192555,39.4990997314453,-119.767997741699,37.3625984191895,-121.929000854492,Sotto-Utilizzata
PHL,PBI,3157030,30073,4109505,0.7682263435620592,39.871898651123,-75.241096496582,26.6832008361816,-80.0955963134766,Sovra-Utilizzata
JFK,SEA,3155503,24006,4422331,0.7135384031633996,40.63980103,-73.77890015,47.4490013122559,-122.30899810791,Sovra-Utilizzata
CLE,LGA,3151737,65456,5848077,0.5389356193497452,41.4117012024,-81.8498001099,40.77719879,-73.87259674,Sotto-Utilizzata
SEA,STL,3147410,27333,4134456,0.7612633923302122,47.4490013122559,-122.30899810791,38.7486991882324,-90.370002746582,Sovra-Utilizzata
PDX,RNO,3146478,36907,4942186,0.6366571391687808,45.58869934,-122.5979996,39.4990997314453,-119.767997741699,Sovra-Utilizzata
EWR,RDU,3145778,59080,5120163,0.6143902059368032,40.6925010681152,-74.168701171875,35.8776016235352,-78.7874984741211,Sotto-Utilizzata
ORD,CID,3142368,74020,5337366,0.5887488322891853,41.97859955,-87.90480042,41.8847007751465,-91.7108001708984,Sotto-Utilizzata
RNO,OAK,3141235,41487,5589179,0.5620208263145625,39.4990997314453,-119.767997741699,37.7212982177734,-122.221000671387,Sotto-Utilizzata
MIA,SFO,3137902,22830,4591475,0.6834191626873717,25.7931995391846,-80.2906036376953,37.6189994812012,-122.375,Sovra-Utilizzata
SLC,SMF,3137257,33484,4243143,0.739371027561409,40.7883987426758,-111.977996826172,38.6954002380371,-121.591003417969,Sovra-Utilizzata
RDU,EWR,3130940,59415,5179252,0.6045158644530136,35.8776016235352,-78.7874984741211,40.6925010681152,-74.168701171875,Sotto-Utilizzata
OMA,STL,3129144,37144,4774017,0.655453049287424,41.3031997680664,-95.8940963745117,38.7486991882324,-90.370002746582,Sovra-Utilizzata
IAH,BOS,3121727,33436,4403115,0.7089814824277813,29.9843997955322,-95.3414001464844,42.36429977,-71.00520325,Sovra-Utilizzata
LAS,CLE,3119572,23587,3673460,0.8492189924485363,36.08010101,-115.1520004,41.4117012024,-81.8498001099,Sovra-Utilizzata
PIT,DCA,3119399,45382,5719616,0.5453860888563148,40.49150085,-80.23290253,38.8521,-77.037697,Sotto-Utilizzata
PDX,ATL,3115047,20158,4192396,0.7430230827431378,45.58869934,-122.5979996,33.6366996765137,-84.4281005859375,Sovra-Utilizzata
BUF,JFK,3115047,36455,4108005,0.7582870517440947,42.94049835,-78.73220062,40.63980103,-73.77890015,Sovra-Utilizzata
